id,session_id,country_name,is_mobile,ui_element,created_at,measurement_category,timestamp,country_residency,ip_country,important_score,broker_timestamp,country_match,timestamp_within_tolerance
5372731,73719419,united states,1,brokername-link,2024-04-21 13:41:39,01review/02notrel/03feeees,,,,,,True,False
5372738,73721409,spain,1,dynamic score top broker list row,2024-04-21 13:42:55,01bestca/02notrel/03notrel,,,,,,True,False
5372739,73721149,pakistan,1,mobile-chapter-2-top5-box,2024-04-21 13:42:57,01counpg/02notrel/03notrel,,,,,,True,False
5372745,73602422,france,1,mobile-chapter-2-top5-box,2024-04-21 13:44:02,01review/02notrel/03deposi,,,,,,True,False
5372746,73721509,south africa,0,fmb broker list item link,2024-04-21 13:44:02,01fmybro/02notrel/03notrel,,,,,,True,False
5372748,73720451,switzerland,0,desktop-top5-box,2024-04-21 13:45:13,01review/02notrel/03withdr,,,,,,True,False
5372758,73720986,brazil,1,fmb broker list item link,2024-04-21 13:46:06,01fmybro/02notrel/03notrel,,,,,,True,False
5372759,73721730,germany,1,mobile-chapter-2-top5-box,2024-04-21 13:46:07,01cateme/02notrel/03notrel,,,,,,True,False
5372763,73721730,germany,1,mobile-chapter-2-top5-box,2024-04-21 13:46:52,01cateme/02notrel/03notrel,,,,,,True,False
5372774,73721929,united states,0,dynamic score top broker list row,2024-04-21 13:48:18,01bestca/02notrel/03notrel,,,,,,True,False
5372775,71661884,spain,1,dynamic score top broker list row,2024-04-21 13:48:26,01bestca/02notrel/03notrel,,,,,,True,False
5372776,73721929,united states,0,broker-name-link,2024-04-21 13:48:28,01bestca/02notrel/03notrel,,,,,,True,False
5372779,73721953,serbia,0,dynamic score top broker list row,2024-04-21 13:48:50,01counpg/02notrel/03notrel,,,,,,True,False
5372781,73720818,latvia,0,dynamic score top broker list row,2024-04-21 13:48:53,01bestca/02notrel/03online,,,,,,True,False
5372788,73721993,cambodia,1,dynamic score top broker list row,2024-04-21 13:50:04,01bestca/02notrel/03online,,,,,,True,False
5372791,73722087,algeria,1,fmb broker list item link,2024-04-21 13:50:29,01fmybro/02notrel/03notrel,,,,,,True,False
5372792,70493216,romania,1,dynamic score top broker list row,2024-04-21 13:50:36,01bestca/02notrel/03notrel,,,,,,True,False
5372796,73711526,turkey,0,top2-brokers-vb,2024-04-21 13:51:08,01compar/02brvsbr/03notrel,,,,,,True,False
5372804,73722235,united kingdom,1,fmb broker list item link,2024-04-21 13:52:15,01fmybro/02notrel/03notrel,,,,,,True,False
5372809,73722325,ethiopia,1,dynamic score top broker list row,2024-04-21 13:52:53,01counpg/02notrel/03notrel,,,,,,True,False
5372813,73722053,india,1,broker-name-link,2024-04-21 13:54:07,01bestca/02notrel/03online,,,,,,True,False
5372816,73705367,morocco,1,fmb broker list item link,2024-04-21 13:54:16,01fmybro/02notrel/03notrel,,,,,,True,False
5372818,73722194,spain,1,mobile-chapter-2-top5-box,2024-04-21 13:54:50,01safety/02isscam/03notrel,,,,,,True,False
5372822,73722053,india,1,dynamic score top broker list row,2024-04-21 13:55:37,01bestca/02notrel/03online,,,,,,True,False
5372825,73722562,united states,1,dynamic score top broker list row,2024-04-21 13:55:48,01counpg/02notrel/03notrel,,,,,,True,False
5372826,73722116,canada,1,compare broker bottom ribbon vbb,2024-04-21 13:55:55,01compar/02notrel/03notrel,,,,,,True,False
5372830,73722526,germany,1,fmb broker list item link,2024-04-21 13:56:33,01fmybro/02notrel/03notrel,,,,,,True,False
5372832,73722700,netherlands,1,dynamic score top broker list row,2024-04-21 13:56:50,01bestca/02notrel/03notrel,,,,,,True,False
5372836,73719597,india,1,fmb broker list item link,2024-04-21 13:57:09,01fmybro/02notrel/03notrel,,,,,,True,False
5372838,73722758,moldova,0,broker-name-link,2024-04-21 13:57:21,01bestca/02notrel/03notrel,,,,,,True,False
5372839,73722210,germany,0,desktop-top5-box,2024-04-21 13:57:23,01cateme/02notrel/03notrel,,,,,,True,False
5372842,73261740,norway,1,mobile-chapter-2-top5-box,2024-04-21 13:58:01,01safety/02isscam/03notrel,,,,,,True,False
5372859,69234969,australia,0,desktop-top5-box,2024-04-21 14:00:59,01review/02notrel/03notrel,,,,,,True,False
5372861,73577159,ukraine,0,broker-name-link,2024-04-21 14:01:23,01bestca/02notrel/03online,,,,,,True,False
5372871,73723247,south africa,1,dynamic score top broker list row,2024-04-21 14:02:37,01counpg/02notrel/03notrel,,,,,,True,False
5372872,73697529,france,0,dynamic score top broker list row,2024-04-21 14:02:40,01bestca/02notrel/03notrel,,,,,,True,False
5372873,73723380,estonia,1,dynamic score top broker list row,2024-04-21 14:02:51,01bestca/02notrel/03notrel,,,,,,True,False
5372876,73723347,united kingdom,0,broker-name-link,2024-04-21 14:02:54,01bestca/02notrel/03online,,,,,,True,False
5372878,73723423,united kingdom,1,dynamic score top broker list row,2024-04-21 14:03:23,01bestca/02notrel/03notrel,,,,,,True,False
5372890,73723446,pakistan,1,fmb broker list item link,2024-04-21 14:04:32,01fmybro/02notrel/03notrel,,,,,,True,False
5372896,73722732,hungary,1,cb broker cards broker link,2024-04-21 14:05:32,01compar/02notrel/03notrel,,,,,,True,False
5372897,73723423,united kingdom,1,mobile-chapter-2-top5-box,2024-04-21 14:05:44,01bestca/02notrel/03notrel,,,,,,True,False
5372899,73723497,cote d'ivoire,1,mobile-chapter-2-top5-box,2024-04-21 14:06:18,01educat/02stocks/03buysto,,,,,,True,False
5372908,73723806,canada,1,cb broker cards visit broker button,2024-04-21 14:08:18,01compar/02notrel/03notrel,,,,,,True,False
5372913,73721645,poland,1,geo-alternatives-button,2024-04-21 14:08:45,01cateme/02notrel/03notrel,,,,,,True,False
5372914,73721645,poland,1,geo-alternatives-button,2024-04-21 14:08:46,01cateme/02notrel/03notrel,,,,,,True,False
5372915,73721645,poland,1,geo-alternatives-button,2024-04-21 14:08:47,01cateme/02notrel/03notrel,,,,,,True,False
5372916,73721645,poland,1,geo-alternatives-button,2024-04-21 14:08:47,01cateme/02notrel/03notrel,,,,,,True,False
5372917,73721645,poland,1,geo-alternatives-button,2024-04-21 14:08:47,01cateme/02notrel/03notrel,,,,,,True,False
5372918,73721645,poland,1,geo-alternatives-button,2024-04-21 14:08:48,01cateme/02notrel/03notrel,,,,,,True,False
5372930,73724138,netherlands,0,dynamic score top broker list row,2024-04-21 14:11:20,01bestca/02notrel/03online,,,,,,True,False
5372934,73724282,united states,1,top2-brokers-vb,2024-04-21 14:12:18,01compar/02brvsbr/03notrel,,,,,,True,False
5372940,73724334,finland,0,desktop-top5-box,2024-04-21 14:12:46,01review/02notrel/03review,,,,,,True,False
5372941,73724385,palestine,0,broker-name-link,2024-04-21 14:12:46,01educat/02stocks/03buysto,,,,,,True,False
5372941,73724385,palestine,0,broker-name-link,2024-04-21 14:12:46,01educat/02stocks/03buysto,,,,,,True,False
5372958,73723904,united states,1,bottom-ribbon,2024-04-21 14:16:41,01review/02notrel/03review,,,,,,True,False
5372969,73721730,germany,1,mobile-chapter-2-top5-box,2024-04-21 14:20:48,01cateme/02notrel/03notrel,,,,,,True,False
5372970,70580745,switzerland,1,mobile-chapter-2-top5-box,2024-04-21 14:21:32,01review/02notrel/03comfee,,,,,,True,False
5372978,73725281,canada,1,mobile-chapter-2-top5-box,2024-04-21 14:23:00,01safety/02isscam/03notrel,,,,,,True,False
5372987,73725541,uganda,1,mobile-chapter-2-top5-box,2024-04-21 14:24:59,01counpg/02notrel/03notrel,,,,,,True,False
5372992,73725693,belgium,1,dynamic score top broker list row,2024-04-21 14:26:07,01bestca/02notrel/03online,,,,,,True,False
5372993,72887452,colombia,1,mobile-chapter-2-top5-box,2024-04-21 14:26:17,01safety/02isscam/03notrel,,,,,,True,False
5372994,73725565,poland,1,mobile-chapter-2-top5-box,2024-04-21 14:26:21,01review/02notrel/03review,,,,,,True,False
5372997,73725565,poland,1,mobile-chapter-2-top5-box,2024-04-21 14:26:30,01review/02notrel/03review,,,,,,True,False
5373004,73725565,poland,1,fmb broker list item link,2024-04-21 14:27:24,01fmybro/02notrel/03notrel,,,,,,True,False
5373010,73724282,united states,1,dynamic score top broker list row,2024-04-21 14:28:08,01bestca/02notrel/03online,,,,,,True,False
5373017,73724282,united states,1,dynamic score top broker list row,2024-04-21 14:29:19,01bestca/02notrel/03online,,,,,,True,False
5373020,73724052,hungary,0,fmb broker list item link,2024-04-21 14:29:51,01fmybro/02notrel/03notrel,,,,,,True,False
5373026,73726049,poland,0,broker-name-link,2024-04-21 14:30:37,01bestca/02notrel/03notrel,,,,,,True,False
5373033,73724282,united states,1,dynamic score top broker list row,2024-04-21 14:31:44,01bestca/02notrel/03notrel,,,,,,True,False
5373034,73723909,ghana,1,dynamic score top broker list row,2024-04-21 14:31:55,01bestca/02notrel/03online,,,,,,True,False
5373039,70895665,south africa,1,mobile-chapter-2-top5-box,2024-04-21 14:32:34,01review/02notrel/03review,,,,,,True,False
5373042,73724052,hungary,0,fmb broker list item link,2024-04-21 14:33:02,01fmybro/02notrel/03notrel,,,,,,True,False
5373044,73726236,india,1,dynamic score top broker list row,2024-04-21 14:33:08,01counpg/02notrel/03notrel,,,,,,True,False
5373045,73726007,united kingdom,0,dynamic score top broker list row,2024-04-21 14:33:25,01bestca/02notrel/03notrel,,,,,,True,False
5373048,73726221,lithuania,0,desktop-top5-box,2024-04-21 14:33:46,01review/02notrel/03review,,,,,,True,False
5373051,73726101,south africa,1,scam-shield-page-trust-card-visit-broker-button,2024-04-21 14:34:17,01scashi/02notrel/03notrel,,,,,,True,False
5373054,73726101,south africa,1,scam-shield-page-trust-card-visit-broker-button,2024-04-21 14:34:49,01scashi/02notrel/03notrel,,,,,,True,False
5373055,73726460,united states,1,dynamic score top broker list row,2024-04-21 14:35:19,01bestca/02notrel/03online,,,,,,True,False
